設立別,學程別,群科別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,"出版_影音製作_傳播及資通訊人數
服務業",金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,"出版_影音製作_傳播及資通訊比率
服務業",金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
國立,進修部(學校),普通科,99,1,0,0,0,0,2,0,0,3,0,1,1,3,5,0,0,0,0,5,21.21,1.01,0,0,0,0,2.02,0,0,3.03,0,1.01,1.01,3.03,5.05,0,0,0,0,5.05
國立,進修部(學校),機械群,415,0,0,85,2,0,3,10,5,25,0,1,0,1,6,3,0,0,6,8,37.35,0,0,20.48,0.48,0,0.72,2.41,1.2,6.02,0,0.24,0,0.24,1.45,0.72,0,0,1.45,1.93
國立,進修部(學校),動力機械群,123,2,0,4,2,0,7,6,4,2,1,1,0,1,1,6,0,0,6,14,46.34,1.63,0,3.25,1.63,0,5.69,4.88,3.25,1.63,0.81,0.81,0,0.81,0.81,4.88,0,0,4.88,11.38
國立,進修部(學校),電機與電子群,436,2,1,60,8,3,23,17,12,21,0,1,1,2,4,12,0,0,6,38,48.39,0.46,0.23,13.76,1.83,0.69,5.28,3.9,2.75,4.82,0,0.23,0.23,0.46,0.92,2.75,0,0,1.38,8.72
國立,進修部(學校),化工群,52,0,0,3,0,0,1,3,2,1,0,0,0,3,5,1,0,0,0,5,46.15,0,0,5.77,0,0,1.92,5.77,3.85,1.92,0,0,0,5.77,9.62,1.92,0,0,0,9.62
國立,進修部(學校),土木與建築群,16,0,0,1,0,0,1,0,0,4,0,0,0,0,0,4,0,0,0,2,75,0,0,6.25,0,0,6.25,0,0,25,0,0,0,0,0,25,0,0,0,12.5
國立,進修部(學校),商業與管理群,993,12,6,84,8,0,27,61,18,122,6,8,4,18,39,9,4,5,40,53,52.77,1.21,0.6,8.46,0.81,0,2.72,6.14,1.81,12.29,0.6,0.81,0.4,1.81,3.93,0.91,0.4,0.5,4.03,5.34
國立,進修部(學校),外語群,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0
國立,進修部(學校),設計群,170,1,0,36,1,0,6,4,0,15,2,0,0,1,9,0,0,2,0,5,48.24,0.59,0,21.18,0.59,0,3.53,2.35,0,8.82,1.18,0,0,0.59,5.29,0,0,1.18,0,2.94
國立,進修部(學校),農業群,64,2,0,8,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,9,42.19,3.13,0,12.5,1.56,0,0,0,0,7.81,0,1.56,0,0,1.56,0,0,0,0,14.06
國立,進修部(學校),食品群,166,8,0,19,2,0,7,7,3,31,5,1,0,0,2,2,1,0,7,13,65.06,4.82,0,11.45,1.2,0,4.22,4.22,1.81,18.67,3.01,0.6,0,0,1.2,1.2,0.6,0,4.22,7.83
國立,進修部(學校),家政群,178,6,0,10,0,0,0,18,6,30,0,0,0,0,1,1,0,0,14,3,50,3.37,0,5.62,0,0,0,10.11,3.37,16.85,0,0,0,0,0.56,0.56,0,0,7.87,1.69
國立,進修部(學校),餐旅群,190,8,0,12,0,0,1,11,0,62,1,0,0,4,2,0,0,1,1,3,55.79,4.21,0,6.32,0,0,0.53,5.79,0,32.63,0.53,0,0,2.11,1.05,0,0,0.53,0.53,1.58
縣市立,普通科,普通科,42125,6,1,25,17,0,14,14,6,53,3,2,0,10,14,92,8,5,20,20,0.74,0.01,0,0.06,0.04,0,0.03,0.03,0.01,0.13,0.01,0,0,0.02,0.03,0.22,0.02,0.01,0.05,0.05
專業群(職業)科,專業群(職業)科,機械群,2455,0,0,111,4,0,3,22,1,12,2,3,0,5,6,2,0,0,2,5,7.25,0,0,4.52,0.16,0,0.12,0.9,0.04,0.49,0.08,0.12,0,0.2,0.24,0.08,0,0,0.08,0.2
專業群(職業)科,專業群(職業)科,動力機械群,851,0,0,6,0,0,2,10,21,1,0,0,0,27,4,0,0,0,0,11,9.64,0,0,0.71,0,0,0.24,1.18,2.47,0.12,0,0,0,3.17,0.47,0,0,0,0,1.29
專業群(職業)科,專業群(職業)科,電機與電子群,3551,0,0,6,2,0,39,1,0,16,1,1,0,3,2,0,1,2,2,11,2.45,0,0,0.17,0.06,0,1.1,0.03,0,0.45,0.03,0.03,0,0.08,0.06,0,0.03,0.06,0.06,0.31
專業群(職業)科,專業群(職業)科,化工群,558,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1.25,0,0,0.36,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0.72
專業群(職業)科,專業群(職業)科,土木與建築群,621,1,0,6,0,0,4,1,0,0,1,0,0,0,0,0,0,0,3,1,2.74,0.16,0,0.97,0,0,0.64,0.16,0,0,0.16,0,0,0,0,0,0,0,0.48,0.16
專業群(職業)科,專業群(職業)科,商業與管理群,3067,0,0,0,0,0,1,8,2,14,6,5,0,1,1,6,0,0,0,11,1.79,0,0,0,0,0,0.03,0.26,0.07,0.46,0.2,0.16,0,0.03,0.03,0.2,0,0,0,0.36
專業群(職業)科,專業群(職業)科,外語群,605,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0.83,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0.17,0.17,0,0,0.33
專業群(職業)科,專業群(職業)科,設計群,1278,0,0,2,0,0,1,3,1,10,5,0,0,2,2,1,0,0,8,4,3.05,0,0,0.16,0,0,0.08,0.23,0.08,0.78,0.39,0,0,0.16,0.16,0.08,0,0,0.63,0.31
專業群(職業)科,專業群(職業)科,農業群,177,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5.65,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,2.26
專業群(職業)科,專業群(職業)科,食品群,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
專業群(職業)科,專業群(職業)科,家政群,249,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,1,2.41,0,0,0,0,0,0,0.4,0,0.4,0,0,0,1.2,0,0,0,0,0,0.4
專業群(職業)科,專業群(職業)科,餐旅群,266,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,3,0,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,1.13,0,1.13,0
專業群(職業)科,專業群(職業)科,藝術群,63,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0
專業群(職業)科,專業群(職業)科,綜合,390,4,1,42,1,3,4,24,2,91,0,0,0,5,44,0,1,5,8,11,63.08,1.03,0.26,10.77,0.26,0.77,1.03,6.15,0.51,23.33,0,0,0,1.28,11.28,0,0.26,1.28,2.05,2.82
縣市立,綜合高中,學術群,2330,1,0,1,0,0,0,4,0,7,1,0,0,0,1,8,0,0,0,6,1.24,0.04,0,0.04,0,0,0,0.17,0,0.3,0.04,0,0,0,0.04,0.34,0,0,0,0.26
縣市立,綜合高中,機械群,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,電機與電子群,220,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0.45,0,0,0,0.45,0.45,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,化工群,57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,土木與建築群,136,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,商業與管理群,466,0,0,1,0,0,0,1,0,4,0,1,0,4,0,4,0,0,0,2,3.65,0,0,0.21,0,0,0,0.21,0,0.86,0,0.21,0,0.86,0,0.86,0,0,0,0.43
縣市立,綜合高中,外語群,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,設計群,279,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,1,2.15,0,0,0,0,0,0,0.36,0,0.72,0,0,0,0,0,0.72,0,0,0,0.36
縣市立,綜合高中,農業群,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,綜合高中,家政群,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0
縣市立,綜合高中,餐旅群,127,0,0,4,0,0,0,0,0,5,0,0,0,0,0,2,0,0,5,2,14.17,0,0,3.15,0,0,0,0,0,3.94,0,0,0,0,0,1.57,0,0,3.94,1.57
縣市立,綜合高中,綜合,7,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,71.43,0,0,0,0,0,0,14.29,0,42.86,0,0,0,0,0,0,0,0,14.29,0
縣市立,實用技能學程,機械群,93,0,0,17,0,0,4,2,0,1,0,0,0,2,1,0,0,0,5,1,35.48,0,0,18.28,0,0,4.3,2.15,0,1.08,0,0,0,2.15,1.08,0,0,0,5.38,1.08
縣市立,實用技能學程,動力機械群,49,0,0,2,0,0,0,0,0,0,0,0,0,15,1,0,0,0,2,1,42.86,0,0,4.08,0,0,0,0,0,0,0,0,0,30.61,2.04,0,0,0,4.08,2.04
縣市立,實用技能學程,電機與電子群,83,0,0,18,1,0,1,12,0,1,0,0,0,6,0,0,0,0,1,0,48.19,0,0,21.69,1.2,0,1.2,14.46,0,1.2,0,0,0,7.23,0,0,0,0,1.2,0
縣市立,實用技能學程,土木與建築群,23,0,0,2,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,30.43,0,0,8.7,0,0,4.35,0,0,4.35,0,0,0,4.35,8.7,0,0,0,0,0
縣市立,實用技能學程,商業與管理群,78,0,0,3,0,0,3,0,0,5,0,1,0,0,1,0,0,0,2,1,20.51,0,0,3.85,0,0,3.85,0,0,6.41,0,1.28,0,0,1.28,0,0,0,2.56,1.28
縣市立,實用技能學程,設計群,30,1,0,2,0,0,0,3,0,7,2,0,0,1,0,1,0,0,1,0,60,3.33,0,6.67,0,0,0,10,0,23.33,6.67,0,0,3.33,0,3.33,0,0,3.33,0
縣市立,實用技能學程,食品群,33,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,27.27,0,0,3.03,0,0,0,3.03,0,18.18,0,0,0,0,0,0,3.03,0,0,0
縣市立,實用技能學程,餐旅群,84,1,0,1,0,0,1,4,0,20,2,0,0,0,0,1,0,0,0,0,35.71,1.19,0,1.19,0,0,1.19,4.76,0,23.81,2.38,0,0,0,0,1.19,0,0,0,0
縣市立,實用技能學程,美容造型群,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15.79,0,0,0,0,0,0,0,0,0,0,0,0,15.79,0,0,0,0,0,0
縣市立,進修部(學校),普通科,341,6,1,37,0,0,3,5,1,8,0,1,0,2,3,2,0,4,65,67,60.12,1.76,0.29,10.85,0,0,0.88,1.47,0.29,2.35,0,0.29,0,0.59,0.88,0.59,0,1.17,19.06,19.65
縣市立,進修部(學校),機械群,332,0,0,58,0,0,8,5,5,12,0,0,0,7,7,0,0,0,5,5,33.73,0,0,17.47,0,0,2.41,1.51,1.51,3.61,0,0,0,2.11,2.11,0,0,0,1.51,1.51
縣市立,進修部(學校),動力機械群,138,0,0,8,0,0,2,2,0,6,0,0,0,17,0,0,0,0,2,0,26.81,0,0,5.8,0,0,1.45,1.45,0,4.35,0,0,0,12.32,0,0,0,0,1.45,0
縣市立,進修部(學校),電機與電子群,370,3,0,26,5,0,10,5,1,21,2,2,0,14,10,0,0,0,24,3,34.05,0.81,0,7.03,1.35,0,2.7,1.35,0.27,5.68,0.54,0.54,0,3.78,2.7,0,0,0,6.49,0.81
縣市立,進修部(學校),化工群,39,0,0,5,0,0,0,1,1,6,0,1,0,4,0,0,0,0,8,0,66.67,0,0,12.82,0,0,0,2.56,2.56,15.38,0,2.56,0,10.26,0,0,0,0,20.51,0
縣市立,進修部(學校),土木與建築群,74,0,0,4,0,0,10,8,0,0,0,0,0,1,1,0,0,1,5,1,41.89,0,0,5.41,0,0,13.51,10.81,0,0,0,0,0,1.35,1.35,0,0,1.35,6.76,1.35
縣市立,進修部(學校),商業與管理群,511,0,1,15,0,0,1,14,0,35,4,0,1,2,8,0,0,4,0,17,19.96,0,0.2,2.94,0,0,0.2,2.74,0,6.85,0.78,0,0.2,0.39,1.57,0,0,0.78,0,3.33
縣市立,進修部(學校),外語群,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,0,0,0
縣市立,進修部(學校),設計群,98,0,0,5,0,0,1,0,1,11,0,0,1,2,4,1,0,0,5,0,31.63,0,0,5.1,0,0,1.02,0,1.02,11.22,0,0,1.02,2.04,4.08,1.02,0,0,5.1,0
縣市立,進修部(學校),食品群,19,2,0,2,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,2,63.16,10.53,0,10.53,0,0,0,0,0,10.53,0,0,0,0,21.05,0,0,0,0,10.53
縣市立,進修部(學校),餐旅群,28,0,0,0,0,0,2,0,0,5,0,0,0,0,3,0,0,0,0,0,35.71,0,0,0,0,0,7.14,0,0,17.86,0,0,0,0,10.71,0,0,0,0,0
私立,普通科,普通科,24465,17,0,6,0,0,8,6,3,43,0,0,0,4,5,51,0,1,17,20,0.74,0.07,0,0.02,0,0,0.03,0.02,0.01,0.18,0,0,0,0.02,0.02,0.21,0,0,0.07,0.08
私立,專業群(職業)科,機械群,1784,3,0,194,0,1,42,10,7,21,0,0,0,14,6,12,0,2,2,22,18.83,0.17,0,10.87,0,0.06,2.35,0.56,0.39,1.18,0,0,0,0.78,0.34,0.67,0,0.11,0.11,1.23
私立,專業群(職業)科,動力機械群,4179,65,0,277,21,2,48,71,157,156,4,1,3,410,58,123,0,1,19,182,38.24,1.56,0,6.63,0.5,0.05,1.15,1.7,3.76,3.73,0.1,0.02,0.07,9.81,1.39,2.94,0,0.02,0.45,4.36
私立,專業群(職業)科,電機與電子群,7977,25,6,213,43,0,43,65,27,177,47,1,1,161,29,85,1,4,35,152,13.98,0.31,0.08,2.67,0.54,0,0.54,0.81,0.34,2.22,0.59,0.01,0.01,2.02,0.36,1.07,0.01,0.05,0.44,1.91
私立,專業群(職業)科,土木與建築群,189,0,0,3,0,0,6,1,0,1,0,0,0,0,0,3,0,0,0,4,9.52,0,0,1.59,0,0,3.17,0.53,0,0.53,0,0,0,0,0,1.59,0,0,0,2.12
私立,專業群(職業)科,商業與管理群,7729,11,5,55,2,0,17,128,26,175,10,12,0,40,22,58,4,5,47,117,9.5,0.14,0.06,0.71,0.03,0,0.22,1.66,0.34,2.26,0.13,0.16,0,0.52,0.28,0.75,0.05,0.06,0.61,1.51
私立,專業群(職業)科,外語群,4880,2,0,6,0,0,0,18,3,53,3,2,0,7,7,15,2,5,14,40,3.63,0.04,0,0.12,0,0,0,0.37,0.06,1.09,0.06,0.04,0,0.14,0.14,0.31,0.04,0.1,0.29,0.82
私立,專業群(職業)科,設計群,6332,12,1,32,4,0,16,64,9,111,21,4,0,45,55,30,2,7,46,49,8.02,0.19,0.02,0.51,0.06,0,0.25,1.01,0.14,1.75,0.33,0.06,0,0.71,0.87,0.47,0.03,0.11,0.73,0.77
私立,專業群(職業)科,食品群,103,0,0,1,0,0,1,0,0,4,0,0,0,3,2,0,7,0,5,0,22.33,0,0,0.97,0,0,0.97,0,0,3.88,0,0,0,2.91,1.94,0,6.8,0,4.85,0
私立,專業群(職業)科,家政群,5290,4,1,49,3,0,3,80,9,244,46,1,2,320,41,37,35,28,86,456,27.32,0.08,0.02,0.93,0.06,0,0.06,1.51,0.17,4.61,0.87,0.02,0.04,6.05,0.78,0.7,0.66,0.53,1.63,8.62
私立,專業群(職業)科,餐旅群,18074,88,24,184,38,6,83,260,92,2603,22,7,6,114,113,169,6,28,185,267,23.76,0.49,0.13,1.02,0.21,0.03,0.46,1.44,0.51,14.4,0.12,0.04,0.03,0.63,0.63,0.94,0.03,0.15,1.02,1.48
私立,專業群(職業)科,海事群,61,0,0,1,0,0,1,0,6,3,0,0,0,0,2,0,0,0,0,2,24.59,0,0,1.64,0,0,1.64,0,9.84,4.92,0,0,0,0,3.28,0,0,0,0,3.28
私立,專業群(職業)科,藝術群,2637,1,1,11,0,0,5,21,0,39,10,1,0,16,35,4,0,2,73,67,10.85,0.04,0.04,0.42,0,0,0.19,0.8,0,1.48,0.38,0.04,0,0.61,1.33,0.15,0,0.08,2.77,2.54
私立,專業群(職業)科,綜合,397,7,0,10,3,0,8,18,10,43,0,0,0,6,38,0,1,6,7,70,57.18,1.76,0,2.52,0.76,0,2.02,4.53,2.52,10.83,0,0,0,1.51,9.57,0,0.25,1.51,1.76,17.63
私立,綜合高中,學術群,1548,1,0,1,0,0,0,0,0,14,0,0,0,2,1,6,1,1,1,4,2.07,0.06,0,0.06,0,0,0,0,0,0.9,0,0,0,0.13,0.06,0.39,0.06,0.06,0.06,0.26
私立,綜合高中,動力機械群,47,0,0,1,0,1,0,0,0,1,0,0,0,5,2,0,0,0,0,1,23.4,0,0,2.13,0,2.13,0,0,0,2.13,0,0,0,10.64,4.26,0,0,0,0,2.13
私立,綜合高中,電機與電子群,534,4,0,2,5,0,2,0,1,2,0,0,0,4,0,32,0,0,0,22,13.86,0.75,0,0.37,0.94,0,0.37,0,0.19,0.37,0,0,0,0.75,0,5.99,0,0,0,4.12
私立,綜合高中,化工群,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,綜合高中,商業與管理群,861,0,0,6,0,0,0,0,0,13,0,0,0,1,4,4,0,0,3,11,4.88,0,0,0.7,0,0,0,0,0,1.51,0,0,0,0.12,0.46,0.46,0,0,0.35,1.28
私立,綜合高中,外語群,722,0,0,1,0,0,0,3,0,10,0,0,0,0,1,6,0,0,3,6,4.16,0,0,0.14,0,0,0,0.42,0,1.39,0,0,0,0,0.14,0.83,0,0,0.42,0.83
私立,綜合高中,設計群,403,0,0,3,0,0,0,1,0,3,1,0,0,0,2,2,0,0,2,3,4.22,0,0,0.74,0,0,0,0.25,0,0.74,0.25,0,0,0,0.5,0.5,0,0,0.5,0.74
私立,綜合高中,家政群,401,0,0,1,0,0,0,5,0,22,0,0,0,9,4,5,0,0,3,10,14.71,0,0,0.25,0,0,0,1.25,0,5.49,0,0,0,2.24,1,1.25,0,0,0.75,2.49
私立,綜合高中,餐旅群,1109,0,1,8,0,0,3,5,0,76,0,0,0,6,7,43,0,1,3,20,15.6,0,0.09,0.72,0,0,0.27,0.45,0,6.85,0,0,0,0.54,0.63,3.88,0,0.09,0.27,1.8
私立,綜合高中,藝術群,16,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,3,56.25,0,0,0,0,0,0,0,0,18.75,0,0,0,0,0,6.25,0,0,12.5,18.75
私立,綜合高中,綜合,216,0,0,4,0,0,1,1,0,10,0,0,0,1,3,6,0,0,0,5,14.35,0,0,1.85,0,0,0.46,0.46,0,4.63,0,0,0,0.46,1.39,2.78,0,0,0,2.31
私立,實用技能學程,機械群,130,1,0,51,0,0,1,4,0,10,0,0,0,0,1,0,0,0,0,0,52.31,0.77,0,39.23,0,0,0.77,3.08,0,7.69,0,0,0,0,0.77,0,0,0,0,0
私立,實用技能學程,動力機械群,1099,46,6,70,13,4,27,50,60,49,1,0,0,165,7,43,0,0,28,63,57.51,4.19,0.55,6.37,1.18,0.36,2.46,4.55,5.46,4.46,0.09,0,0,15.01,0.64,3.91,0,0,2.55,5.73
