設立別,學程別,群科別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,"出版_影音製作_傳播及資通訊人數
服務業",金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,"出版_影音製作_傳播及資通訊比率
服務業",金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
國立,普通科,普通科,34072,8,0,12,1,1,4,15,6,33,2,1,0,5,22,98,0,1,11,14,0.686780934491665,0.023479690068091,0,0.035219535102137,0.002934961258511,0.002934961258511,0.011739845034046,0.044024418877671,0.017609767551068,0.096853721530876,0.005869922517023,0.002934961258511,0,0.014674806292557,0.064569147687251,0.287626203334116,0,0.002934961258511,0.032284573843625,0.041089457619159
國立,專業群(職業)科,機械群,4353,8,0,133,1,0,21,10,2,31,1,0,0,12,13,44,0,0,0,36,7.16747070985527,0.183781300252699,0,3.05536411670113,0.022972662531587,0,0.482425913163336,0.229726625315874,0.045945325063175,0.71215253847921,0.022972662531587,0,0,0.275671950379049,0.298644612910636,1.01079715138985,0,0,0,0.827015851137147
國立,專業群(職業)科,動力機械群,1279,10,0,21,1,0,8,5,4,17,0,0,0,73,10,25,0,0,1,32,16.1845191555903,0.781860828772478,0,1.6419077404222,0.078186082877248,0,0.625488663017983,0.390930414386239,0.312744331508991,1.32916340891321,0,0,0,5.70758405003909,0.781860828772478,1.9546520719312,0,0,0.078186082877248,2.50195465207193
國立,專業群(職業)科,電機與電子群,5101,19,0,41,23,1,15,32,4,25,0,1,2,52,9,48,1,1,17,18,6.05763575769457,0.372475985100961,0,0.803763967849441,0.450891981964321,0.01960399921584,0.2940599882376,0.627327974906881,0.07841599686336,0.490099980396001,0,0.01960399921584,0.03920799843168,1.01940795922368,0.17643599294256,0.940991962360321,0.01960399921584,0.01960399921584,0.333267986669281,0.352871985885121
國立,專業群(職業)科,化工群,1208,0,0,8,0,0,3,1,0,9,0,0,0,3,5,6,0,4,1,3,3.55960264900662,0,0,0.662251655629139,0,0,0.248344370860927,0.082781456953642,0,0.745033112582781,0,0,0,0.248344370860927,0.413907284768212,0.496688741721854,0,0.33112582781457,0.082781456953642,0.248344370860927
國立,專業群(職業)科,土木與建築群,1230,2,0,13,2,3,6,11,1,19,0,0,0,7,7,14,0,1,3,4,7.5609756097561,0.16260162601626,0,1.05691056910569,0.16260162601626,0.24390243902439,0.487804878048781,0.894308943089431,0.08130081300813,1.54471544715447,0,0,0,0.569105691056911,0.569105691056911,1.13821138211382,0,0.08130081300813,0.24390243902439,0.32520325203252
國立,專業群(職業)科,商業與管理群,7676,6,0,12,1,0,9,33,3,75,3,2,1,7,18,44,1,0,3,20,3.10057321521626,0.078165711307973,0,0.156331422615946,0.013027618551329,0,0.117248566961959,0.429911412193851,0.039082855653986,0.977071391349661,0.039082855653986,0.026055237102658,0.013027618551329,0.091193329859302,0.234497133923919,0.573215216258468,0.013027618551329,0,0.039082855653986,0.260552371026576
國立,專業群(職業)科,外語群,974,0,0,0,0,0,0,1,0,3,0,0,0,0,0,4,1,0,0,3,1.23203285420945,0,0,0,0,0,0,0.102669404517454,0,0.308008213552361,0,0,0,0,0,0.410677618069815,0.102669404517454,0,0,0.308008213552361
國立,專業群(職業)科,設計群,1297,1,0,5,0,0,2,5,0,10,1,0,0,2,4,4,0,1,2,3,3.0840400925212,0.07710100231303,0,0.38550501156515,0,0,0.15420200462606,0.38550501156515,0,0.771010023130301,0.07710100231303,0,0,0.15420200462606,0.30840400925212,0.30840400925212,0,0.07710100231303,0.15420200462606,0.23130300693909
國立,專業群(職業)科,農業群,1761,51,1,17,5,0,3,10,2,47,0,0,0,7,7,51,2,1,8,20,13.1743327654742,2.89608177172061,0.056785917092561,0.965360590573538,0.283929585462805,0,0.170357751277683,0.56785917092561,0.113571834185122,2.66893810335037,0,0,0,0.397501419647927,0.397501419647927,2.89608177172061,0.113571834185122,0.056785917092561,0.454287336740488,1.13571834185122
國立,專業群(職業)科,食品群,1311,2,2,8,0,0,3,15,1,58,1,0,0,6,9,36,0,0,2,15,12.0518688024409,0.15255530129672,0.15255530129672,0.61022120518688,0,0,0.22883295194508,1.1441647597254,0.07627765064836,4.42410373760488,0.07627765064836,0,0,0.45766590389016,0.68649885583524,2.74599542334096,0,0,0.15255530129672,1.1441647597254
國立,專業群(職業)科,家政群,1430,1,0,4,0,0,0,6,0,32,4,1,0,12,4,10,2,3,6,28,7.9020979020979,0.06993006993007,0,0.27972027972028,0,0,0,0.41958041958042,0,2.23776223776224,0.27972027972028,0.06993006993007,0,0.839160839160839,0.27972027972028,0.699300699300699,0.13986013986014,0.20979020979021,0.41958041958042,1.95804195804196
國立,專業群(職業)科,餐旅群,1053,1,0,1,0,0,4,7,2,40,1,0,0,16,3,18,1,1,0,9,9.87654320987654,0.094966761633428,0,0.094966761633428,0,0,0.379867046533713,0.664767331433998,0.189933523266857,3.79867046533713,0.094966761633428,0,0,1.51946818613485,0.284900284900285,1.70940170940171,0.094966761633428,0.094966761633428,0,0.854700854700855
